QUASAR,QUASAR Z,<Z>,F,F error,Tau
J1148+5251_HIRES_fromGB.txt,6.419,6.092,0.005,0.001,5.291
,,5.924,0.010,0.001,4.639
,,5.760,0.015,0.001,4.224
,,5.601,0.073,0.001,2.612
,,5.448,0.063,0.001,2.758
,,,,,
J1250+3130_ESI_GBreduc.txt,6.150,5.835,-0.002,0.006,> 4.401
,,5.674,0.012,0.005,4.416
,,5.519,0.008,0.005,4.797
,,5.369,0.028,0.005,3.563
,,5.224,0.119,0.005,2.127
,,,,,
J1257+6349_MMT_SDSS_fromXF.txt,6.020,5.711,0.020,0.009,3.927
,,5.555,0.013,0.013,> 3.653
,,5.403,0.132,0.013,2.022
,,5.257,0.089,0.008,2.422
,,5.116,0.102,0.008,2.282
,,,,,
J1306+0356_XShooter_fromGB.txt,6.016,5.707,0.081,0.001,2.510
,,5.551,0.072,0.001,2.636
,,5.400,0.108,0.001,2.224
,,5.254,0.073,0.001,2.614
,,5.113,0.146,0.001,1.922
,,,,,
J1319+0959_XShooter_Becker15.txt,6.132,5.818,0.023,0.001,3.791
,,5.657,0.025,0.001,3.677
,,5.503,0.046,0.001,3.083
,,5.353,0.061,0.001,2.800
,,5.209,0.142,0.001,1.953
,,,,,
J1335+3533_ESI_GBreduc.txt,5.901,5.598,0.038,0.005,3.260
,,5.445,0.076,0.005,2.572
,,5.298,0.151,0.006,1.894
,,5.155,0.164,0.005,1.806
,,5.017,0.144,0.006,1.937
,,,,,
J1411+1217_ESI_McGreer15.txt,5.927,5.623,0.049,0.005,3.019
,,5.469,0.086,0.005,2.450
,,5.321,0.058,0.005,2.845
,,5.178,0.131,0.004,2.035
,,5.039,0.076,0.005,2.581
,,,,,
J1509-1749_XShooter_McGreer15.txt,6.120,5.806,0.015,0.001,4.202
,,5.646,0.043,0.001,3.145
,,5.492,0.067,0.001,2.699
,,5.343,0.074,0.001,2.605
,,5.199,0.120,0.001,2.118
,,,,,
J1602+4228_ESI_KOA.txt,6.090,5.778,0.036,0.003,3.332
,,5.619,0.069,0.002,2.673
,,5.465,0.066,0.002,2.724
,,5.317,0.070,0.001,2.657
,,5.174,0.095,0.002,2.350
,,,,,
J1609+3041_MMT_Jiang16.txt,6.160,5.844,0.037,0.023,3.291
,,5.683,0.035,0.018,3.349
,,5.527,0.066,0.027,2.716
,,5.377,0.210,0.026,1.561
,,5.232,0.217,0.027,1.526
,,,,,
J1621+5155_MMT_Jiang16.txt,5.710,5.416,0.099,0.009,2.310
,,5.270,0.091,0.006,2.394
,,5.128,0.114,0.006,2.169
,,4.991,0.085,0.007,2.461
,,4.859,0.138,0.005,1.978
,,,,,
J1623+3112_ESI_McGreer15.txt,6.247,(((5.92701))),contaminated,,
,,(((5.76291))),contaminated,,
,,5.605,0.039,0.003,3.246
,,5.452,0.026,0.003,3.634
,,5.304,0.061,0.003,2.802
,,,,,
J1630+4012_ESI_fromGB.txt,6.058,5.747,0.007,0.006,4.925
,,5.590,0.007,0.005,4.896
,,5.437,0.116,0.005,2.155
,,5.290,0.117,0.004,2.148
,,5.148,0.110,0.005,2.211
,,,,,
J1641+3755_ESI_KOA.txt,6.040,5.730,0.026,0.013,3.634
,,5.573,0.120,0.014,2.123
,,5.421,0.141,0.013,1.959
,,5.274,0.061,0.010,2.793
,,5.133,0.178,0.013,1.723
,,,,,
J2054-0005_ESI_Becker15.txt,6.038,5.728,0.007,0.002,4.944
,,5.571,0.084,0.002,2.472
,,5.419,0.079,0.002,2.544
,,5.273,0.088,0.001,2.431
,,5.131,0.144,0.002,1.941
,,,,,
J2229+1457_ESI_KOA.txt,6.150,5.835,-0.018,0.024,> 3.040
,,5.674,-0.010,0.018,> 3.325
,,5.519,0.042,0.021,3.174
,,5.369,0.025,0.018,3.687
,,5.224,0.118,0.017,2.141
,,,,,
J2310+1855_LBTMODS_Jiang16.txt,6.003,5.695,0.022,0.000,3.838
,,5.539,0.053,0.000,2.941
,,5.388,0.078,0.000,2.547
,,5.243,0.091,0.001,2.402
,,5.102,0.168,0.001,1.783
,,,,,
J2315-0023_ESI_Becker15.txt,6.117,5.803,-0.002,0.004,> 4.907
,,5.644,0.043,0.003,3.150
,,5.489,0.041,0.003,3.183
,,5.340,0.074,0.002,2.601
,,5.196,0.117,0.002,2.142
,,,,,
J2329-0403_ESI_KOA.txt,6.410,6.083,0.004,0.007,> 4.328
,,5.915,0.004,0.009,> 4.0299
,,5.751,0.004,0.009,> 4.067
,,5.593,0.086,0.007,2.457
,,5.441,0.204,0.007,1.588
